parcel_id,parcel_label,ArchiEmotional_emotional_expr_gt_control.nii,ArchiEmotional_emotional_face_gt_control.nii,ArchiStandard_audio_gt_baseline.nii,ArchiStandard_checkerboard_gt_baseline.nii,PreferenceFaces_face_gt_baseline.nii,RSVPLanguage_language_gt_baseline.nii,RSVPLanguage_sentence_complex_vs_pseudo.nii,RSVPLanguage_sentence_gt_word.nii
1,7Networks_LH_Vis_1,0.02097209476346177,0.04532031725967249,0.0386261578701585,0.019794943920029597,0.2696031722381311,-0.023991118382622044,0.013982439335072323,0.2400285918583333
2,7Networks_LH_Vis_2,0.06289681444475696,-0.0429998754610977,-0.08359866174257566,-0.021421482390341102,0.01772521448308641,-0.08049143615837097,-0.06958904930001361,0.17578205291189
3,7Networks_LH_Vis_3,-0.009062190724628286,0.0026035172342309485,-0.04226585500320145,0.07932656133553329,0.09555900358431124,-0.004533714347662148,0.013715466020980085,0.07531756428313897
4,7Networks_LH_Vis_4,-0.006748759398745226,0.09022809323412416,0.0379037160775376,0.05396837889026207,0.09441175721305262,0.14547693241126478,0.17423804771767726,0.18768028195312958
5,7Networks_LH_Vis_5,-0.0024561936957667573,0.00331597203257108,-0.0231981179247742,-0.02757656821969901,0.0,0.0,0.0,0.0
7,7Networks_LH_Vis_7,-0.06257723425928677,-0.046805062664491755,-0.03340067271369166,0.02980152048350019,-0.023162361442347314,-0.03730873160133358,0.011626195198120184,-0.005871401962724527
8,7Networks_LH_Vis_8,0.0,0.0,-0.0036254237424383786,-0.0019207589124163537,0.0,0.0,0.0,0.0
10,7Networks_LH_Vis_10,0.06566117361913097,-0.020190134953026986,0.0013559460016428825,-0.01896049077828031,0.1455378184504461,0.05843149916605517,-0.00034109908060585915,0.006439383133947446
11,7Networks_LH_Vis_11,-0.004413436323699385,-0.004817584031584239,0.02406066013868935,0.04193584919021935,-0.0016322407391991946,0.0004067820615577742,-0.0009227544806971409,-0.01227484127082447
13,7Networks_LH_Vis_13,0.02726111162945137,-0.08064453788067559,-0.040511760326791484,-0.09485927046764464,0.00746578568288943,-0.01760432792609155,-0.00899742200677266,-0.10750488604627031
16,7Networks_LH_Vis_16,0.13830906547664198,-0.02259215458664888,-0.04438691189667831,-0.01686188443836727,0.05180096649067612,-0.11947263037824693,-0.18952898854950034,-0.002304510512719086
17,7Networks_LH_Vis_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,7Networks_LH_Vis_20,-0.03513250082485481,0.038643601574424084,-0.2591901189928952,-0.1320872507421882,-0.045525695986321404,-0.14198741470681853,-0.01363358929585148,-0.04479750544447193
